Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2020-042849,12603706656,02/03/2020 12:53:00 AM,02/03/2020 12:53:00 AM,02/04/2020 04:52:47 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,U,U3,SANDPOINT,71XX BLOCK OF 62ND AVE NE,-122.262228093,47.67889074
2020-042860,12603706291,02/04/2020 02:00:00 AM,02/04/2020 02:30:00 AM,02/04/2020 04:49:12 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,B,B2,BALLARD SOUTH,11XX BLOCK OF NW LEARY WAY,-122.37218016,47.66365981
2020-042811,12603681821,02/04/2020 12:53:00 AM,,02/04/2020 04:23:50 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,D,D3,SLU/CASCADE,,0,0
2020-042811,12603688357,02/04/2020 12:53:00 AM,,02/04/2020 04:23:50 AM,A,PERSON,SEX OFFENSES,Sodomy,11B,W,D,D3,SLU/CASCADE,,0,0
2020-041561,12602235176,02/03/2020 02:54:00 AM,02/03/2020 03:10:00 AM,02/03/2020 04:27:22 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,S,S3,RAINIER VIEW,98XX BLOCK OF ARROWSMITH AVE S,-122.252409725,47.51343904
2020-041570,12602232077,02/03/2020 12:00:00 AM,02/03/2020 03:00:00 AM,02/03/2020 04:16:07 AM,A,PROPERTY,ROBBERY,Robbery,120,N,B,B1,BALLARD SOUTH,20XX BLOCK OF NW MARKET ST,-122.383928621,47.66867758
2020-040523,12601271595,01/30/2020 08:00:00 AM,01/31/2020 08:00:00 PM,02/02/2020 04:57:32 AM,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,W,D,D2,SLU/CASCADE,8XX BLOCK OF VIRGINIA ST,-122.336165507,47.61605329
2020-040483,12601323469,02/02/2020 02:20:00 AM,02/02/2020 02:50:00 AM,02/02/2020 04:53:46 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E1,CAPITOL HILL,9XX BLOCK OF E JOHN ST,-122.320206098,47.61991247
2020-040482,12601261514,02/02/2020 03:25:00 AM,,02/02/2020 04:42:13 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U2,UNIVERSITY,43XX BLOCK OF UNIVERSITY WAY NE,-122.313149,47.66053224
2020-037709,12595579944,01/31/2020 04:10:00 AM,01/31/2020 04:15:00 AM,01/31/2020 04:53:26 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J3,ROOSEVELT/RAVENNA,11XX BLOCK OF N 77TH ST,-122.34314261,47.68476424
2020-037669,12595580098,01/30/2020 10:30:00 PM,01/31/2020 03:00:00 AM,01/31/2020 04:50:59 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,E,E1,CAPITOL HILL,5XX BLOCK OF BROADWAY E,-122.320933335,47.62369897
2020-031056,12248288282,01/25/2020 07:40:00 PM,01/26/2020 12:40:00 AM,01/26/2020 04:58:13 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U2,UNIVERSITY,47XX BLOCK OF 8TH AVE NE,-122.31955133,47.66357398
2020-029829,12247176567,01/25/2020 01:52:00 AM,01/25/2020 01:52:00 AM,01/25/2020 04:47:05 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SW,F,F3,SOUTH PARK,S DONOVAN ST / 14TH AVE S,-122.314923879,47.52559207
2020-029791,12247149234,01/25/2020 12:00:00 AM,,01/25/2020 04:32:06 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,C,C1,CAPITOL HILL,E NEWTON ST / 10TH AVE E,-122.320079826,47.6372518
2020-028310,12221331650,01/24/2020 12:00:00 AM,01/24/2020 04:15:00 AM,01/24/2020 04:48:46 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,W,W1,NORTH ADMIRAL,26XX BLOCK OF 50TH AVE SW,-122.395328326,47.58031251
2020-026875,12219628096,01/23/2020 04:01:00 AM,,01/23/2020 04:31:21 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,B,B2,FREMONT,LEARY WAY NW / NW 40TH ST,-122.361919423,47.65606237
2020-026802,12219617921,01/23/2020 01:09:00 AM,,01/23/2020 04:28:10 AM,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,S,S,S1,MID BEACON HILL,29TH AVE S / S MORGAN ST,-122.295817794,47.54441612
2020-026802,12219623213,01/23/2020 01:09:00 AM,,01/23/2020 04:28:10 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,S,S,S1,MID BEACON HILL,29TH AVE S / S MORGAN ST,-122.295817794,47.54441612
2020-026850,12219614690,01/23/2020 02:45:00 AM,,01/23/2020 04:17:24 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,O,O2,SODO,27XX BLOCK OF 4TH AVE S,-122.329057086,47.57876777
2020-025502,12190810478,01/22/2020 03:23:00 AM,,01/22/2020 04:31:08 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,N,N2,BITTERLAKE,120XX BLOCK OF AURORA AVE N,-122.344896093,47.71717447
2020-024142,12174991335,01/21/2020 02:05:00 AM,,01/21/2020 04:09:53 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,J,J3,GREENWOOD,GREENWOOD AVE N / N 76TH ST,-122.355297753,47.68401824
2020-023070,12173851118,01/20/2020 02:30:00 AM,,01/20/2020 04:12:35 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,1XX BLOCK OF 6TH AVE S,-122.326352374,47.60129045
2020-021571,12173841939,01/18/2020 06:26:00 PM,,01/20/2020 04:02:37 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M2,DOWNTOWN COMMERCIAL,5XX BLOCK OF PINE ST,-122.335928546,47.61190423
2020-022029,12173737868,01/19/2020 02:02:00 AM,01/19/2020 02:03:00 AM,01/19/2020 04:34:09 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,Q,Q1,MAGNOLIA,20TH AVE W / W BERTONA ST,-122.381989698,47.65033189
2020-900850,12172959430,12/08/2019 12:00:00 AM,12/10/2019 06:00:00 PM,01/19/2020 04:32:14 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,N,N1,BITTERLAKE,120XX BLOCK OF 3RD AVE NW,-122.360923487,47.71690804
2020-021958,12172975252,01/19/2020 12:55:00 AM,01/19/2020 01:00:00 AM,01/19/2020 04:20:36 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K2,PIONEER SQUARE,5XX BLOCK OF 1ST AVE S,-122.334191713,47.59738019
2020-900849,12172950483,01/17/2020 09:00:00 PM,01/18/2020 02:20:00 AM,01/19/2020 04:12:15 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W3,MORGAN,47TH AVE SW / SW MYRTLE ST,-122.393076962,47.53964052
2020-900848,12172946640,01/17/2020 10:10:00 PM,01/18/2020 08:10:00 AM,01/19/2020 04:03:58 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q1,MAGNOLIA,35XX BLOCK OF 27TH PL W,-122.39040072,47.65245059
2020-900847,12172946238,01/18/2020 12:00:00 AM,01/18/2020 06:30:00 AM,01/19/2020 04:03:05 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U1,ROOSEVELT/RAVENNA,70XX BLOCK OF 21ST AVE NE,-122.305263148,47.67986588
2020-900844,12172945971,01/17/2020 08:30:00 PM,01/18/2020 10:10:00 AM,01/19/2020 04:02:40 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J1,GREENWOOD,3XX BLOCK OF NW 85TH ST,-122.361983985,47.69063291
2020-900843,12172945851,01/17/2020 10:00:00 AM,01/17/2020 05:00:00 PM,01/19/2020 04:02:32 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M1,DOWNTOWN COMMERCIAL,13XX BLOCK OF 2ND AVE,-122.337541071,47.60779562
2020-900842,12172945734,01/10/2020 09:55:00 AM,01/17/2020 09:55:00 AM,01/19/2020 04:02:24 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U3,SANDPOINT,65XX BLOCK OF 47TH AVE NE,-122.277934409,47.67668957
2020-900846,12172945587,01/17/2020 10:30:00 AM,01/18/2020 04:00:00 AM,01/19/2020 04:02:13 AM,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,N,U,U2,UNIVERSITY,BROOKLYN AVE NE / NE 45TH ST,-122.314285821,47.66127698
2020-900815,12172001118,11/11/2019 12:55:00 PM,01/09/2020 12:55:00 PM,01/18/2020 04:32:04 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,Q,Q3,QUEEN ANNE,2XX BLOCK OF 1ST AVE N,-122.355438599,47.62035191
2020-900813,12171991348,12/28/2019 06:45:00 PM,12/28/2019 09:45:00 PM,01/18/2020 04:12:32 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,Q,Q3,QUEEN ANNE,5XX BLOCK OF W MERCER ST,-122.364166342,47.62452278
2020-900810,12171991264,01/16/2020 05:00:00 PM,01/17/2020 10:40:00 AM,01/18/2020 04:12:26 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS,37XX BLOCK OF SW 100TH ST,-122.380485111,47.51374534
2020-900809,12171991119,01/17/2020 05:15:00 AM,01/17/2020 05:45:00 AM,01/18/2020 04:12:20 AM,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,N,U,U2,UNIVERSITY,42XX BLOCK OF UNIVERSITY WAY NE,-122.313187761,47.65905498
2020-900811,12171991030,01/16/2020 12:00:00 PM,01/16/2020 04:30:00 PM,01/18/2020 04:12:12 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,K,K1,DOWNTOWN COMMERCIAL,8XX BLOCK OF ALASKAN WAY,-122.337441357,47.60267489
2020-900812,12171990894,01/04/2020 11:00:00 PM,01/05/2020 07:50:00 AM,01/18/2020 04:12:04 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R1,NORTH BEACON HILL,12TH AVE S / S MASSACHUSETTS ST,-122.317276076,47.58843652
2020-900808,12171986961,01/14/2020 03:35:00 PM,01/14/2020 03:40:00 PM,01/18/2020 04:04:32 AM,A,PROPERTY,LARCENY-THEFT,Pocket-picking,23A,W,D,D2,SLU/CASCADE,22XX BLOCK OF 6TH AVE,-122.34156472,47.61631394
2020-900806,12171986623,01/09/2020 11:45:00 AM,01/09/2020 12:29:00 PM,01/18/2020 04:04:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R3,COLUMBIA CITY,38XX BLOCK OF S ALASKA ST,-122.283300743,47.56073618
2020-900805,12171986499,12/16/2019 12:00:00 AM,12/24/2019 11:55:00 PM,01/18/2020 04:03:53 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,C,C2,MONTLAKE/PORTAGE BAY,22XX BLOCK OF 22ND AVE E,-122.303947388,47.63894412
2020-900803,12171986162,12/30/2019 06:21:00 AM,01/17/2020 10:00:00 AM,01/18/2020 04:03:16 AM,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,N,J,J1,GREENWOOD,5XX BLOCK OF N 104TH ST,-122.351765926,47.70435263
2020-900801,12171986076,04/02/2019 12:00:00 AM,04/17/2019 12:00:00 AM,01/18/2020 04:03:10 AM,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,N,B,B3,WALLINGFORD,47XX BLOCK OF 5TH AVE NE,-122.322875364,47.66374854
2020-900802,12171985963,01/17/2020 09:55:00 AM,01/17/2020 09:55:00 AM,01/18/2020 04:03:02 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U1,SANDPOINT,91XX BLOCK OF 25TH AVE NE,-122.30152565,47.69526616
2020-900800,12171985765,01/16/2020 03:20:00 AM,01/17/2020 07:30:00 AM,01/18/2020 04:02:53 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R1,MID BEACON HILL,52XX BLOCK OF 21ST AVE S,-122.306135473,47.55534418
2020-900799,12171985343,01/17/2020 07:10:00 AM,01/17/2020 07:15:00 AM,01/18/2020 04:02:03 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E1,CAPITOL HILL,E PINE ST / BELMONT AVE,-122.324472643,47.615225
2020-015808,12166108096,01/13/2020 10:30:00 PM,01/14/2020 02:00:00 AM,01/14/2020 04:47:10 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,S,S2,BRIGHTON/DUNLAP,65XX BLOCK OF RAINIER AVE S,-122.273741067,47.54381503
2020-014687,12162760297,01/13/2020 12:51:00 AM,01/13/2020 12:53:00 AM,01/13/2020 04:51:47 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,S,R,R1,NORTH BEACON HILL,20XX BLOCK OF RAINIER AVE S,-122.303257158,47.58501972
2020-012705,12160780490,01/11/2020 02:30:00 AM,01/11/2020 03:00:00 AM,01/11/2020 04:52:45 AM,A,PERSON,SEX OFFENSES,Fondling,11D,N,U,U2,UNIVERSITY,,0,0
2020-012624,12160752611,01/11/2020 12:35:26 AM,,01/11/2020 04:13:39 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,D,D1,BELLTOWN,BROAD ST / 1ST AVE,-122.352506537,47.61691834
