Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2020-011352,12158374903,01/09/2020 04:00:00 PM,01/09/2020 11:41:00 PM,01/10/2020 04:57:24 AM,A,PERSON,SEX OFFENSES,Rape,11A,E,C,C1,CAPITOL HILL,,0,0
2020-011397,12158364254,01/10/2020 02:57:00 AM,,01/10/2020 04:29:08 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,U,U3,ROOSEVELT/RAVENNA,33XX BLOCK OF NE 65TH ST,-122.291918352,47.67578203
2020-008532,12150336031,01/08/2020 02:41:00 AM,,01/08/2020 04:39:20 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E3,FIRST HILL,10XX BLOCK OF SPRING ST,-122.326346825,47.60981959
2020-007142,12146576180,01/07/2020 04:21:00 AM,,01/07/2020 04:50:53 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,E,E,E2,CAPITOL HILL,15XX BLOCK OF BROADWAY,-122.320789514,47.61465549
2020-005936,12141599315,01/06/2020 03:00:00 AM,01/06/2020 03:05:00 AM,01/06/2020 04:36:14 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,W,W1,NORTH ADMIRAL,26XX BLOCK OF 39TH AVE SW,-122.381266921,47.57979176
2020-002510,12138084427,01/03/2020 02:54:00 AM,01/03/2020 03:00:00 AM,01/03/2020 04:20:55 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,B,B1,BALLARD SOUTH,32XX BLOCK OF NW 54TH ST,-122.398977763,47.66747133
2020-002528,12138081856,01/03/2020 03:54:00 AM,,01/03/2020 04:20:09 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F3,HIGHLAND PARK,94XX BLOCK OF 8TH AVE SW,-122.345428232,47.51821962
2020-002500,12138093830,01/02/2020 11:45:00 PM,01/03/2020 02:30:00 AM,01/03/2020 04:07:01 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E3,FIRST HILL,9XX BLOCK OF JAMES ST,-122.324195215,47.60578655
2020-001207,12136703974,01/02/2020 03:26:00 AM,,01/02/2020 04:55:17 AM,A,PROPERTY,ROBBERY,Robbery,120,SW,W,W2,ALASKA JUNCTION,47XX BLOCK OF CALIFORNIA AVE SW,-122.386803986,47.56021562
2020-000255,12135537682,01/01/2020 02:35:00 AM,01/01/2020 02:40:00 AM,01/01/2020 04:47:03 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O1,SODO,S HOLGATE ST / 4TH AVE S,-122.329062261,47.58617012
2020-000244,12135553723,01/01/2020 03:13:00 AM,,01/01/2020 04:42:31 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,8XX BLOCK OF S LANE ST,-122.322069329,47.59666932
2020-000156,12135698385,01/01/2020 01:30:00 AM,01/01/2020 03:00:00 AM,01/01/2020 04:27:28 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,E,E1,CAPITOL HILL,3XX BLOCK OF BELLEVUE AVE E,-122.326582152,47.62140652
2020-000186,12135515564,01/01/2020 02:11:00 AM,,01/01/2020 04:12:29 AM,A,PROPERTY,ROBBERY,Robbery,120,W,K,K2,DOWNTOWN COMMERCIAL,5XX BLOCK OF 2ND AVE,-122.332251468,47.60201216
2019-481765,12132471893,12/30/2019 09:15:00 PM,12/30/2019 09:15:00 PM,12/31/2019 04:26:27 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,Q,Q1,MAGNOLIA,MAGNOLIA BLVD W / W HOWE ST,-122.405100017,47.63589509
2019-917500,12119918915,12/24/2019 02:34:00 PM,12/24/2019 02:40:00 PM,12/29/2019 04:54:48 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E1,CAPITOL HILL,2XX BLOCK OF SUMMIT AVE E,-122.325296763,47.62024211
2019-917499,12119918102,12/13/2019 04:39:00 PM,12/13/2019 04:39:00 PM,12/29/2019 04:52:49 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,W,W3,MORGAN,81XX BLOCK OF 41ST AVE SW,-122.384686087,47.5303317
2019-917498,12119917972,12/28/2019 12:30:00 AM,12/28/2019 01:15:00 AM,12/29/2019 04:52:41 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B2,FREMONT,N 35TH ST / PHINNEY AVE N,-122.354478936,47.65141095
2019-917497,12119917887,12/27/2019 11:00:00 PM,12/28/2019 06:00:00 AM,12/29/2019 04:52:34 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,L,L2,NORTHGATE,8XX BLOCK OF NE 95TH ST,-122.318957231,47.69766393
2019-917496,12119917795,12/28/2019 03:00:00 AM,12/28/2019 08:00:00 AM,12/29/2019 04:52:25 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B1,BALLARD SOUTH,NW 60TH ST / 26TH AVE NW,-122.390140334,47.67237783
2019-917494,12119917707,12/26/2019 11:30:00 PM,12/26/2019 11:59:00 PM,12/29/2019 04:52:18 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,J,J2,BALLARD NORTH,75XX BLOCK OF 24TH AVE NW,-122.387571816,47.68407764
2019-479992,12119922409,12/29/2019 02:45:00 AM,12/29/2019 04:14:00 AM,12/29/2019 04:47:37 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E3,CAPITOL HILL,14XX BLOCK OF SENECA ST,-122.322529054,47.61240581
2019-917493,12119914270,12/27/2019 08:30:00 PM,12/27/2019 08:30:00 PM,12/29/2019 04:44:48 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G3,JUDKINS PARK/NORTH BEACON HILL,19XX BLOCK OF S BUSH PL,-122.307454535,47.5928235
2019-917492,12119914059,12/27/2019 08:15:00 PM,12/28/2019 03:00:00 AM,12/29/2019 04:44:39 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E2,FIRST HILL,E SPRING ST / 12TH AVE,-122.316778894,47.61156267
2019-479973,12119917190,12/29/2019 03:17:00 AM,,12/29/2019 04:44:24 AM,A,PROPERTY,ROBBERY,Robbery,120,W,Q,Q3,SLU/CASCADE,5XX BLOCK OF 5TH AVE N,-122.347576788,47.6239021
2019-917491,12119913152,12/27/2019 06:00:00 PM,12/27/2019 10:00:00 PM,12/29/2019 04:42:42 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U2,UNIVERSITY,11TH AVE NE / NE 45TH ST,-122.316578939,47.66129196
2019-917490,12119913040,12/11/2019 04:54:00 PM,12/11/2019 09:00:00 PM,12/29/2019 04:42:36 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R3,LAKEWOOD/SEWARD PARK,42XX BLOCK OF 47TH AVE S,-122.274498134,47.56469033
2019-917488,12119912780,12/12/2019 06:00:00 PM,12/27/2019 08:00:00 PM,12/29/2019 04:42:18 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,E,G,G2,CENTRAL AREA/SQUIRE PARK,5XX BLOCK OF 19TH AVE,-122.307629047,47.60709272
2019-917485,12119909138,12/17/2019 07:05:00 PM,12/17/2019 07:25:00 PM,12/29/2019 04:34:49 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,N,N1,BITTERLAKE,N 107TH ST / GREENWOOD AVE N,-122.355466629,47.7068988
2019-479848,12119914494,12/28/2019 12:00:00 AM,12/29/2019 12:00:00 AM,12/29/2019 04:32:46 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,92XX BLOCK OF 29TH AVE SW,-122.369983368,47.52013356
2019-917484,12119908104,11/30/2019 05:00:00 PM,11/30/2019 05:00:00 PM,12/29/2019 04:32:29 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G3,MADRONA/LESCHI,5XX BLOCK OF 26TH AVE S,-122.298723798,47.59741288
2019-917483,12119908024,12/23/2019 07:45:00 PM,12/24/2019 07:45:00 PM,12/29/2019 04:32:22 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,Q,Q2,QUEEN ANNE,5XX BLOCK OF GALER ST,-122.344936059,47.63231645
2019-917482,12119907912,12/27/2019 08:30:00 AM,12/27/2019 06:00:00 PM,12/29/2019 04:32:15 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,E,E3,FIRST HILL,SPRING ST / 7TH AVE,-122.330224335,47.60819781
2019-479959,12119908898,12/28/2019 07:30:00 PM,12/29/2019 02:30:00 AM,12/29/2019 04:30:14 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,G,G1,FIRST HILL,13TH AVE / E REMINGTON CT,-122.315475269,47.60556164
2019-917480,12119903852,12/27/2019 02:50:00 PM,12/27/2019 05:10:00 PM,12/29/2019 04:24:38 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,L,L2,NORTHGATE,88XX BLOCK OF 20TH AVE NE,-122.306840849,47.69257649
2019-917479,12119902918,12/27/2019 12:00:00 AM,12/27/2019 05:30:00 PM,12/29/2019 04:22:09 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D1,BELLTOWN,WESTERN AVE / BELL ST,-122.347372429,47.61271039
2019-917478,12119898505,12/27/2019 03:50:00 PM,12/27/2019 04:15:00 PM,12/29/2019 04:12:09 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,C,C2,MONTLAKE/PORTAGE BAY,23XX BLOCK OF ARBORETUM DR E,-122.294881319,47.63408717
2019-478843,12118917424,12/28/2019 03:26:00 AM,,12/28/2019 04:03:27 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F3,SOUTH PARK,90XX BLOCK OF 4TH AVE S,-122.329681485,47.5218684
2019-477177,12117531742,12/26/2019 08:50:29 PM,,12/27/2019 04:04:01 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,G,G3,JUDKINS PARK/NORTH BEACON HILL,9XX BLOCK OF DAVIS PL S,-122.307364381,47.59378377
2019-474382,12113963608,12/22/2019 11:53:00 PM,12/22/2019 11:56:00 PM,12/24/2019 04:45:05 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,B,B1,BALLARD SOUTH,57XX BLOCK OF SEAVIEW AVE NW,-122.404925181,47.67100675
2019-473284,12112548904,12/23/2019 03:59:00 AM,,12/23/2019 04:40:13 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,F,F3,SOUTH PARK,89XX BLOCK OF 14TH AVE S,-122.314960704,47.52346714
2019-471115,12110693370,12/21/2019 04:00:00 AM,12/21/2019 04:05:00 AM,12/21/2019 04:53:27 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,G,G2,CENTRAL AREA/SQUIRE PARK,1XX BLOCK OF 17TH AVE,-122.310223417,47.60217894
2019-471114,12110676489,12/21/2019 04:00:00 AM,,12/21/2019 04:18:35 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,8TH AVE S / S KING ST,-122.32244834,47.59834757
2019-471038,12110721835,12/21/2019 01:50:00 AM,,12/21/2019 04:17:26 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,M,M3,DOWNTOWN COMMERCIAL,4TH AVE / UNIVERSITY ST,-122.334866324,47.60822792
2019-469599,12109464048,12/19/2019 08:30:00 PM,12/20/2019 02:00:00 AM,12/20/2019 04:57:13 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E2,CAPITOL HILL,15XX BLOCK OF BROADWAY,-122.320789514,47.61465549
2019-469576,12109420392,12/20/2019 01:33:54 AM,,12/20/2019 04:16:22 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,E,C,C3,MADISON PARK,33RD AVE E / E MADISON ST,-122.289516317,47.62799765
