Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2014-100905,7686356889,04/03/2014 01:30:00 AM,04/03/2014 05:00:00 AM,04/03/2014 05:56:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O1,SODO,15XX BLOCK OF UTAH AVE S,-122.335119838,47.58927055
2014-100896,7655468616,04/03/2014 05:28:00 AM,,04/03/2014 05:29:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,Q,Q1,MAGNOLIA,15XX BLOCK OF W DRAVUS ST,-122.377128949,47.64846992
2014-100896,7655468618,04/03/2014 05:28:00 AM,,04/03/2014 05:29:00 AM,A,PROPERTY,ROBBERY,Robbery,120,W,Q,Q1,MAGNOLIA,15XX BLOCK OF W DRAVUS ST,-122.377128949,47.64846992
2014-098429,7634772658,04/01/2014 05:24:00 AM,,04/01/2014 05:24:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q2,QUEEN ANNE,1XX BLOCK OF LYNN ST,-122.354970219,47.6391152
2014-904117,7643795946,03/31/2014 04:30:00 AM,03/31/2014 04:35:00 AM,03/31/2014 05:18:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R1,NORTH BEACON HILL,24TH AVE S / S BRADFORD ST,-122.301822831,47.56925383
2014-097140,7700347330,03/30/2014 08:00:00 PM,03/31/2014 05:00:00 AM,03/31/2014 05:11:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,G,G3,MADRONA/LESCHI,3XX BLOCK OF 27TH AVE S,-122.29745536,47.60003474
2014-096195,7645095944,03/30/2014 01:00:00 AM,03/30/2014 04:00:00 AM,03/30/2014 05:37:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E2,CAPITOL HILL,14XX BLOCK OF BROADWAY,-122.320771378,47.61351951
2014-095219,7633469782,03/29/2014 03:00:00 AM,03/29/2014 05:45:00 AM,03/29/2014 05:59:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F3,HIGHLAND PARK,94XX BLOCK OF 8TH AVE SW,-122.345428232,47.51821962
2014-093991,7662473051,03/28/2014 05:45:00 AM,,03/28/2014 05:45:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R3,COLUMBIA CITY,32XX BLOCK OF S FERDINAND ST,-122.290109216,47.55786269
2014-093983,7669053026,03/28/2014 05:17:00 AM,03/28/2014 05:17:00 AM,03/28/2014 05:17:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D3,SLU/CASCADE,EASTLAKE AVE E / REPUBLICAN ST,-122.329156373,47.62312696
2014-092782,7639118424,03/26/2014 11:00:00 PM,03/27/2014 05:45:00 AM,03/27/2014 05:53:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,N,N3,GREENWOOD,7XX BLOCK OF N 95TH ST,-122.348650455,47.69782007
2014-090467,7627950092,03/25/2014 05:31:00 AM,,03/25/2014 05:32:00 AM,A,PROPERTY,ROBBERY,Robbery,120,S,R,R3,COLUMBIA CITY,32XX BLOCK OF S EDMUNDS ST,-122.290153851,47.55866698
2014-090464,7658163862,03/24/2014 09:00:00 PM,03/25/2014 05:00:00 AM,03/25/2014 05:10:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F3,HIGHLAND PARK,8XX BLOCK OF SW TRENTON ST,-122.345780215,47.52463558
2014-087399,7680590675,03/22/2014 05:22:00 AM,,03/22/2014 05:22:00 AM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,E,E,E2,CAPITOL HILL,15XX BLOCK OF 12TH AVE,-122.316845012,47.61468385
2014-086138,7699320154,03/20/2014 10:00:00 PM,03/21/2014 05:00:00 AM,03/21/2014 05:16:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,R,R3,LAKEWOOD/SEWARD PARK,42XX BLOCK OF 50TH AVE S,-122.270730415,47.56470229
2014-086134,7666294933,03/21/2014 05:07:00 AM,,03/21/2014 05:07:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,F,F3,SOUTH PARK,5XX BLOCK OF S DONOVAN ST,-122.326906883,47.52562736
2014-086135,7632589289,03/20/2014 10:00:00 PM,03/21/2014 04:50:00 AM,03/21/2014 05:04:00 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,N,N2,NORTHGATE,133XX BLOCK OF STONE AVE N,-122.342300215,47.72551124
2014-083855,7677772300,03/19/2014 05:34:00 AM,,03/19/2014 05:34:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q1,MAGNOLIA,34XX BLOCK OF 24TH AVE W,-122.38743089,47.65047997
