Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2012-368151,7651283976,10/27/2012 03:45:00 AM,10/27/2012 03:45:00 AM,10/27/2012 03:48:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,B,B3,WALLINGFORD,45XX BLOCK OF GREEN LAKE WAY N,-122.346400074,47.66176763
2012-368119,7629934721,10/27/2012 03:02:00 AM,,10/27/2012 03:02:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,U,U2,UNIVERSITY,39XX BLOCK OF PASADENA PL NE,-122.321893977,47.65505461
2012-366687,7640806760,10/25/2012 10:30:00 PM,10/26/2012 02:30:00 AM,10/26/2012 03:01:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O1,SODO,1XX BLOCK OF S HOLGATE ST,-122.332632182,47.58613968
2012-365416,7696384412,10/25/2012 03:44:00 AM,,10/25/2012 03:44:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,N,N3,NORTHGATE,11XX BLOCK OF N 98TH ST,-122.343293152,47.70052091
2012-361875,7676444890,10/15/2012 07:30:00 AM,,10/23/2012 03:59:00 AM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,N,N,N2,BITTERLAKE,137XX BLOCK OF AURORA AVE N,-122.345047042,47.72958479
2012-361875,7676444893,10/15/2012 07:30:00 AM,,10/23/2012 03:59:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,N,N2,BITTERLAKE,137XX BLOCK OF AURORA AVE N,-122.345047042,47.72958479
2012-362783,7676253289,10/23/2012 03:20:00 AM,,10/23/2012 03:22:00 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,W,W2,MORGAN,46XX BLOCK OF SW JUNEAU ST,-122.391800218,47.55036419
2012-361576,7652936336,10/22/2012 03:56:00 AM,,10/22/2012 03:56:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F1,NORTH DELRIDGE,52XX BLOCK OF 19TH AVE SW,-122.35829061,47.55451107
2012-360657,7677567555,10/21/2012 03:41:00 AM,,10/21/2012 03:41:00 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K2,DOWNTOWN COMMERCIAL,5XX BLOCK OF 2ND AVE,-122.332251468,47.60201216
2012-360615,7637288445,10/21/2012 12:00:00 AM,,10/21/2012 03:02:00 AM,A,PROPERTY,ROBBERY,Robbery,120,W,K,K3,DOWNTOWN COMMERCIAL,3XX BLOCK OF 6TH AVE,-122.327355432,47.60337148
2012-359477,7685891628,10/20/2012 03:45:00 AM,,10/20/2012 03:45:00 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,O,O3,GEORGETOWN,72XX BLOCK OF E MARGINAL WAY S,-122.317892566,47.53708722
2012-359470,7642827169,10/20/2012 02:30:00 AM,,10/20/2012 03:33:00 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,W,W1,NORTH ADMIRAL,,0,0
2012-359470,7642827171,10/20/2012 02:30:00 AM,,10/20/2012 03:33:00 AM,B,SOCIETY,"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",90F,SW,W,W1,NORTH ADMIRAL,,0,0
2012-358153,7631242469,10/18/2012 10:00:00 PM,10/19/2012 03:50:00 AM,10/19/2012 03:56:00 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,D,D2,QUEEN ANNE,12XX BLOCK OF WESTLAKE AVE N,-122.340993764,47.63099174
2012-358078,7686762088,10/19/2012 01:18:00 AM,,10/19/2012 03:40:00 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,35B,W,K,K1,DOWNTOWN COMMERCIAL,6TH AVE / MARION ST,-122.330038974,47.60630223
2012-358138,7626586025,10/19/2012 03:35:00 AM,,10/19/2012 03:35:00 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,D,D2,SLU/CASCADE,2XX BLOCK OF AURORA AVE N,-122.343653521,47.62030595
